,event_source_concept_id,event_source_type_concept_id
0,N02BE01,drug_exposure_administration
1,B01AB05,drug_exposure_administration
2,Non Renseigné,drug_exposure_administration
3,A02BC03,drug_exposure_administration
4,ZBQK002,procedure_occurrence
5,B05BB01,drug_exposure_administration
6,DEQP007,procedure_occurrence
7,A10AB05,drug_exposure_administration
8,N02BG06,drug_exposure_administration
9,N02AX02,drug_exposure_administration
10,YYYY600,procedure_occurrence
11,A12BA01,drug_exposure_administration
12,N02AA01,drug_exposure_administration
13,A06AD15,drug_exposure_administration
14,J01CR02,drug_exposure_administration
15,A03AX12,drug_exposure_administration
16,B01AC06,drug_exposure_administration
17,B05BA03,drug_exposure_administration
18,C03CA01,drug_exposure_administration
19,GLLD017,procedure_occurrence
20,C07AB07,drug_exposure_administration
21,J01DD01,drug_exposure_administration
22,DEQP003,procedure_occurrence
23,I10,condition_occurrence
24,N02AA05,drug_exposure_administration
25,C08CA01,drug_exposure_administration
26,A10BA02,drug_exposure_administration
27,R03AC03,drug_exposure_administration
28,C10AA05,drug_exposure_administration
29,N05BA04,drug_exposure_administration
30,B05BB02,drug_exposure_administration
31,N03AX16,drug_exposure_administration
32,B03BB01,drug_exposure_administration
33,A06AD65,drug_exposure_administration
34,H03AA01,drug_exposure_administration
35,A02BC02,drug_exposure_administration
36,J01CR05,drug_exposure_administration
37,N05BA01,drug_exposure_administration
38,N05BA12,drug_exposure_administration
39,A10AE04,drug_exposure_administration
40,N05CF01,drug_exposure_administration
41,B01AF02,drug_exposure_administration
42,B01AB01,drug_exposure_administration
43,C08CA04,drug_exposure_administration
44,EQQP011,procedure_occurrence
45,N04BA02,drug_exposure_administration
46,R03BB01,drug_exposure_administration
47,C09AA05,drug_exposure_administration
48,V06DX,drug_exposure_administration
49,B05CB04,drug_exposure_administration
50,J01CA04,drug_exposure_administration
51,J01XD01,drug_exposure_administration
52,N05BB01,drug_exposure_administration
53,GLHF001,procedure_occurrence
54,A11DB,drug_exposure_administration
55,N03AX14,drug_exposure_administration
56,C02CA06,drug_exposure_administration
57,A04AA01,drug_exposure_administration
58,M01AE03,drug_exposure_administration
59,B03AA02,drug_exposure_administration
60,H02AB07,drug_exposure_administration
